"Bit","N","SMARTS"
150,150,"[!#1][CH]=C1C(=O)[NH]C(=O)N(C1=O)c2[cH][cH][cH]c3[cH][cH][cH][cH]c23"
151,151,"[!#1][CH]=C1C(=O)c2[cH][cH][cH][cH]c2C1=O"
152,152,"[!#1][CH]=C1C(=O)N(N=C1c2[cH][cH][cH][cH][cH]2)c3[cH][cH]c([!#1])[cH][cH]3"
153,153,"[!#1][CH]=C1C(=O)OC([!#1])([CH3])OC1=O"
154,154,"[!#1][CH]=C1N=C(OC1=O)c2[cH][cH][cH][cH][cH]2"
155,155,"[!#1][CH]=C1OC(=O)c2c1[cH]c([!#1])[nH]c2=O"
156,156,"[!#1][CH]=C1SC(=N[!#1])[NH]C1=O"
157,157,"[!#1][CH]=C1SC(=O)N([!#1])C1=O"
158,158,"[!#1][CH]=C1SC(=S)[NH]C1=O"
159,159,"[!#1][CH]=C1SC(=S)N([!#1])C1=O"
160,160,"[!#1][CH]=C1SC(=S)N(C1=O)c2[cH][cH]c([!#1])[cH][cH]2"
161,161,"[!#1][CH]=N[!#1]"
162,162,"[!#1][CH]=N[CH]([!#1])[CH3]"
163,163,"[!#1][CH]=N[CH2][CH2][CH2][CH2][CH2][CH2]N=[CH][!#1]"
164,164,"[!#1][CH]=N[CH2][CH2][NH]C(=O)[!#1]"
165,165,"[!#1][CH]=N[CH2][CH2]N=[CH][!#1]"
166,166,"[!#1][CH]=N[NH]C(=[NH])[NH][N+](=O)[O-]"
167,167,"[!#1][CH]=N[NH]C(=[NH])[NH2]"
168,168,"[!#1][CH]=N[NH]C(=O)[!#1]"
169,169,"[!#1][CH]=N[NH]C(=O)[CH]([!#1])[CH3]"
170,170,"[!#1][CH]=N[NH]C(=O)[CH]([!#1])[NH]C(=O)[!#1]"
171,171,"[!#1][CH]=N[NH]C(=O)[CH]([!#1])[OH]"
172,172,"[!#1][CH]=N[NH]C(=O)[CH2][CH2][CH]([CH3])[OH]"
173,173,"[!#1][CH]=N[NH]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH3]"
174,174,"[!#1][CH]=N[NH]C(=O)[CH2][CH2][CH2][CH2][CH3]"
175,175,"[!#1][CH]=N[NH]C(=O)[CH2][NH]C(=O)[!#1]"
176,176,"[!#1][CH]=N[NH]C(=O)[CH2][OH]"
177,177,"[!#1][CH]=N[NH]C(=O)[CH2]C(=O)[NH]N=[CH][!#1]"
178,178,"[!#1][CH]=N[NH]C(=O)[NH2]"
179,179,"[!#1][CH]=N[NH]C(=O)C(=O)[NH]N=[CH][!#1]"
180,180,"[!#1][CH]=N[NH]C(=O)O[CH2][CH3]"
181,181,"[!#1][CH]=N[NH]C(=S)[NH2]"
182,182,"[!#1][CH]=N[NH]C(=S)S[CH3]"
183,183,"[!#1][CH]=N[NH]S(=O)(=O)[!#1]"
184,184,"[!#1][CH]=N[OH]"
185,185,"[!#1][CH]=NC(=N[NH]C(=O)[!#1])[!#1]"
186,186,"[!#1][CH]=NN([!#1])[CH3]"
187,187,"[!#1][CH]=NN=[CH][!#1]"
188,188,"[!#1][CH]=NOC(=O)[!#1]"
189,189,"[!#1][CH]=O"
190,190,"[!#1][CH]1[CH]([!#1])[CH]2[CH2][CH]1[CH]=[CH]2"
191,191,"[!#1][CH]1[CH]([!#1])[CH]2c3[cH][cH][cH][cH]c3[CH]1c4[cH][cH][cH][cH]c24"
192,192,"[!#1][CH]1[CH]([CH]2[CH2][CH]1[CH]=[CH]2)C(=O)[OH]"
193,193,"[!#1][CH]1[CH]([CH]2c3[cH][cH][cH][cH]c3[CH]1c4[cH][cH][cH][cH]c24)C(=O)[OH]"
194,194,"[!#1][CH]1[CH]([OH])O[CH]([CH2][OH])[CH]([OH])[CH]1[OH]"
195,195,"[!#1][CH]1[CH]2[CH2][CH]3[CH2][CH]([CH2]2)[CH2][CH]1[CH2]3"
196,196,"[!#1][CH]1[CH]2[CH2][CH2][CH2][CH2][CH]12"
197,197,"[!#1][CH]1[CH]2S[CH2]C1([!#1])[CH2][CH2][CH]2[!#1]"
198,198,"[!#1][CH]1[CH2][CH]([CH3])[CH2][CH2][CH]1[CH]([CH3])[CH3]"
199,199,"[!#1][CH]1[CH2][CH]=[CH][CH2][CH]1[!#1]"
200,200,"[!#1][CH]1[CH2][CH]=[CH][CH2][CH]1C(=O)[OH]"
201,201,"[!#1][CH]1[CH2][CH]1[!#1]"
202,202,"[!#1][CH]1[CH2][CH]1c2[cH][cH][cH][cH][cH]2"
203,203,"[!#1][CH]1[CH2][CH]2[CH2][CH2][CH]([CH2]1)N2[!#1]"
204,204,"[!#1][CH]1[CH2][CH]2[CH2][CH2][CH]([CH2]1)N2[CH3]"
