"Bit","N","SMARTS"
2114,2114,"[!#1]c1c2[CH2][CH2][CH2]c2nc3[cH][cH][cH][cH]c13"
2115,2115,"[!#1]c1c2[CH2][CH2][CH2]c2nc3[CH2][CH2][CH2][CH2]c13"
2116,2116,"[!#1]c1c2[CH2][CH2][CH2]c2nc3[CH2][CH2][CH2]c31"
2117,2117,"[!#1]c1c2[CH2][CH2]N([CH3])c2nc3[cH][cH][cH][cH]c13"
2118,2118,"[!#1]c1c2C(=O)[CH2]C([!#1])([CH3])[CH2]c2nc3[cH][cH][cH][cH]c13"
2119,2119,"[!#1]c1c2C(=O)[CH2]C([CH3])([CH3])[CH2]c2nc3[cH][cH][cH][cH]c13"
2120,2120,"[!#1]c1n([!#1])c2[cH][cH][cH][cH]c2[n+]1[!#1]"
2121,2121,"[!#1]c1n([!#1])c2[cH][cH]c([!#1])[cH]c2[n+]1[!#1]"
2122,2122,"[!#1]c1n([CH3])c2[cH][cH][cH][cH]c2[n+]1[CH3]"
2123,2123,"[!#1]c1n[cH][cH][cH]c1[CH3]"
2124,2124,"[!#1]c1n[cH][cH][cH]c1[OH]"
2125,2125,"[!#1]c1n[cH][cH][cH]n1"
2126,2126,"[!#1]c1n[cH][cH]c(n1)c2[cH][cH][cH][cH][cH]2"
2127,2127,"[!#1]c1n[cH][cH]n1[!#1]"
2128,2128,"[!#1]c1n[cH][cH]nc1[!#1]"
2129,2129,"[!#1]c1n[cH][cH]nc1C(=O)[OH]"
2130,2130,"[!#1]c1n[cH][cH]nc1O[CH3]"
2131,2131,"[!#1]c1n[cH][cH]s1"
2132,2132,"[!#1]c1n[cH][nH]c1[!#1]"
2133,2133,"[!#1]c1n[cH][nH]n1"
2134,2134,"[!#1]c1n[cH]c(s1)c2[cH][cH][cH][cH][cH]2"
2135,2135,"[!#1]c1n[cH]n([!#1])c1[!#1]"
2136,2136,"[!#1]c1n[cH]n[nH]1"
2137,2137,"[!#1]c1n[cH]nc([!#1])c1[!#1]"
2138,2138,"[!#1]c1n[cH]nc2[nH][cH]nc12"
2139,2139,"[!#1]c1n[cH]nc2n[cH][nH]c12"
2140,2140,"[!#1]c1n[cH]nc2sc([CH3])c([CH3])c12"
2141,2141,"[!#1]c1n[cH]nc2sc3[CH2][CH2][CH2][CH2]c3c12"
2142,2142,"[!#1]c1n[nH]c([!#1])c1[!#1]"
2143,2143,"[!#1]c1n[nH]c([!#1])n1"
2144,2144,"[!#1]c1n[nH]c([NH2])n1"
2145,2145,"[!#1]c1n[nH]c(=O)[nH]c1=O"
2146,2146,"[!#1]c1n[nH]c(=O)c2[cH][cH][cH][cH]c12"
2147,2147,"[!#1]c1n[nH]c(=S)[nH]c1=O"
2148,2148,"[!#1]c1n[nH]c2[CH2][CH2][CH2][CH2]c12"
2149,2149,"[!#1]c1nc([!#1])c([!#1])[nH]1"
2150,2150,"[!#1]c1nc([!#1])c([!#1])c([!#1])n1"
2151,2151,"[!#1]c1nc([!#1])c([!#1])s1"
2152,2152,"[!#1]c1nc([!#1])c2[cH][cH][cH][cH]c2n1"
2153,2153,"[!#1]c1nc([!#1])c2c3[CH2][CH2][CH2][CH2]c3sc2n1"
2154,2154,"[!#1]c1nc([!#1])n([!#1])n1"
2155,2155,"[!#1]c1nc([!#1])nc([!#1])n1"
2156,2156,"[!#1]c1nc([!#1])nc([NH][CH3])n1"
2157,2157,"[!#1]c1nc([!#1])nc([NH]N=[CH]c2[cH][cH][cH]c([N+](=O)[O-])c2[OH])n1"
2158,2158,"[!#1]c1nc([!#1])nc(Cl)n1"
2159,2159,"[!#1]c1nc([!#1])nc(n1)N2[CH2][CH2][CH2][CH2][CH2]2"
2160,2160,"[!#1]c1nc([!#1])nc(n1)N2[CH2][CH2][NH][CH2][CH2]2"
2161,2161,"[!#1]c1nc([!#1])nc(n1)N2[CH2][CH2]O[CH2][CH2]2"
2162,2162,"[!#1]c1nc([!#1])nc(O[CH](C(F)(F)F)C(F)(F)F)n1"
2163,2163,"[!#1]c1nc([!#1])nc(O[CH3])n1"
2164,2164,"[!#1]c1nc([cH]c(n1)c2[cH][cH][cH][cH][cH]2)c3[cH][cH][cH][cH][cH]3"
2165,2165,"[!#1]c1nc([cH]s1)C2([CH2][CH]3[CH2][CH]4[CH2][CH]([CH2]3)[CH2]2)[CH2]4"
2166,2166,"[!#1]c1nc([cH]s1)c2[cH][cH][cH][cH][cH]2"
2167,2167,"[!#1]c1nc([cH]s1)c2[cH][cH]c([!#1])[cH][cH]2"
2168,2168,"[!#1]c1nc([cH]s1)c2[cH][cH]c([!#1])c([!#1])[cH]2"
2169,2169,"[!#1]c1nc([CH3])[cH][cH]c1[OH]"
2170,2170,"[!#1]c1nc([CH3])[cH]c([CH3])n1"
2171,2171,"[!#1]c1nc([CH3])[cH]s1"
2172,2172,"[!#1]c1nc([CH3])nc(O[CH3])n1"
2173,2173,"[!#1]c1nc([CH3])nc2sc3[CH2][CH2][CH2][CH2]c3c12"
2174,2174,"[!#1]c1nc([NH2])nc(Cl)n1"
2175,2175,"[!#1]c1nc([OH])[cH]c(=O)[nH]1"
2176,2176,"[!#1]c1nc(=O)c([!#1])c([!#1])[nH]1"
2177,2177,"[!#1]c1nc(c([!#1])s1)c2[cH][cH][cH][cH][cH]2"
2178,2178,"[!#1]c1nc(c([!#1])s1)c2[cH][cH]c([!#1])[cH][cH]2"
2179,2179,"[!#1]c1nc(Cl)nc(Cl)n1"
2180,2180,"[!#1]c1nc(I)[cH][cH]c1[OH]"
2181,2181,"[!#1]c1nc(nc(n1)N2[CH2][CH2]O[CH2][CH2]2)N3[CH2][CH2][CH2][CH2][CH2]3"
2182,2182,"[!#1]c1nc(nc(n1)N2[CH2][CH2]O[CH2][CH2]2)N3[CH2][CH2]O[CH2][CH2]3"
2183,2183,"[!#1]c1nc(O[CH3])nc(O[CH3])n1"
2184,2184,"[!#1]c1nc2[cH][cH][cH][cH]c2[nH]1"
2185,2185,"[!#1]c1nc2[cH][cH][cH][cH]c2[nH]c1=O"
2186,2186,"[!#1]c1nc2[cH][cH][cH][cH]c2c([!#1])c1[!#1]"
2187,2187,"[!#1]c1nc2[cH][cH][cH][cH]c2c(=O)[nH]1"
2188,2188,"[!#1]c1nc2[cH][cH][cH][cH]c2c(=O)n1c3[cH][cH][cH][cH][cH]3"
2189,2189,"[!#1]c1nc2[cH][cH][cH][cH]c2c(=O)o1"
2190,2190,"[!#1]c1nc2[cH][cH][cH][cH]c2c3[cH][cH][cH][cH]c13"
2191,2191,"[!#1]c1nc2[cH][cH][cH][cH]c2n1[!#1]"
2192,2192,"[!#1]c1nc2[cH][cH][cH][cH]c2nc1[!#1]"
2193,2193,"[!#1]c1nc2[cH][cH][cH][cH]c2o1"
2194,2194,"[!#1]c1nc2[cH][cH][cH][cH]c2s1"
2195,2195,"[!#1]c1nc2[cH][cH][cH][cH]n2c1[!#1]"
2196,2196,"[!#1]c1nc2[cH][cH]c([!#1])[cH]c2[nH]1"
2197,2197,"[!#1]c1nc2[cH][cH]c([!#1])[cH]c2o1"
2198,2198,"[!#1]c1nc2[cH][cH]c([!#1])[cH]c2s1"
2199,2199,"[!#1]c1nc2[cH][cH]c([CH3])[cH]c2s1"
2200,2200,"[!#1]c1nc2[cH]c([!#1])[cH][cH]c2[nH]1"
2201,2201,"[!#1]c1nc2[cH]c([!#1])[cH][cH]c2o1"
2202,2202,"[!#1]c1nc2[cH]c([!#1])[cH][cH]c2s1"
2203,2203,"[!#1]c1nc2[cH]c(Cl)[cH][cH]c2o1"
2204,2204,"[!#1]c1nc2n([!#1])c(=O)[nH]c(=O)c2n1[!#1]"
2205,2205,"[!#1]c1nc2n([!#1])c(=O)n([!#1])c(=O)c2n1[!#1]"
2206,2206,"[!#1]c1nc2nc([!#1])[cH]c([!#1])n2n1"
2207,2207,"[!#1]c1nc2nc([cH]c(c3[cH][cH][cH][cH][cH]3)n2n1)c4[cH][cH][cH][cH][cH]4"
2208,2208,"[!#1]c1nc2nc([CH3])[cH]c([CH3])n2n1"
2209,2209,"[!#1]c1nc2nonc2nc1[!#1]"
2210,2210,"[!#1]c1nc2sc3[CH2][CH2][CH2][CH2]c3c2c(=O)n1[!#1]"
2211,2211,"[!#1]c1nc2sc3[CH2][CH2][CH2][CH2]c3c2s1"
2212,2212,"[!#1]c1nn([!#1])c([!#1])c1[!#1]"
2213,2213,"[!#1]c1nn([CH3])[cH]c1Br"
2214,2214,"[!#1]c1nn(c([!#1])c1[!#1])c2[cH][cH][cH][cH][cH]2"
2215,2215,"[!#1]c1nn(c([!#1])c1[!#1])c2[cH][cH]c([!#1])[cH][cH]2"
2216,2216,"[!#1]c1nn[cH][nH]1"
2217,2217,"[!#1]c1nn[cH]n1c2[cH][cH][cH][cH][cH]2"
2218,2218,"[!#1]c1nnc([!#1])n1[!#1]"
2219,2219,"[!#1]c1nnc([!#1])n1c2[cH][cH][cH][cH][cH]2"
2220,2220,"[!#1]c1nnc([!#1])o1"
2221,2221,"[!#1]c1nnc([!#1])s1"
2222,2222,"[!#1]c1nnc([CH2][CH3])s1"
2223,2223,"[!#1]c1nnc([CH3])s1"
2224,2224,"[!#1]c1nnc([NH2])s1"
2225,2225,"[!#1]c1nnc2c([!#1])nc3nonc3n12"
2226,2226,"[!#1]c1nnc2c3[cH][cH][cH][cH]c3[nH]c2n1"
2227,2227,"[!#1]c1nnn[nH]1"
2228,2228,"[!#1]c1nnnn1[!#1]"
2229,2229,"[!#1]c1nnnn1c2[cH][cH][cH][cH][cH]2"
2230,2230,"[!#1]c1nnnn1c2c([!#1])[cH][cH][cH]c2[!#1]"
2231,2231,"[!#1]c1nnnn1c2c([CH3])[cH][cH][cH]c2[CH3]"
2232,2232,"[!#1]c1no[n+]([!#1])c1[!#1]"
2233,2233,"[!#1]c1nonc1[!#1]"
2234,2234,"[!#1]c1oc2[cH][cH][cH][cH]c2[n+]1[!#1]"
2235,2235,"[!#1]c1oc2[cH][cH]c([!#1])[cH]c2c1[!#1]"
2236,2236,"[!#1]c1oc2[cH][cH]c([!#1])c([!#1])c2c1[!#1]"
2237,2237,"[!#1]c1oc2[cH]c([!#1])c([!#1])[cH]c2c1[!#1]"
2238,2238,"[!#1]c1oc2c([!#1])c([!#1])c([!#1])[cH]c2c1[!#1]"
2239,2239,"[!#1]c1s[cH][n+]([!#1])c1[!#1]"
2240,2240,"[!#1]c1s[cH][n+]([!#1])c1[CH3]"
2241,2241,"[!#1]c1s[cH]c(c1[!#1])c2[cH][cH][cH][cH][cH]2"
2242,2242,"[!#1]c1sc([!#1])c([!#1])c1[!#1]"
2243,2243,"[!#1]c1sc([!#1])c(c1[!#1])c2[cH][cH][cH][cH][cH]2"
2244,2244,"[!#1]c1sc([CH3])c([CH3])c1[!#1]"
2245,2245,"[!#1]c1sc2[cH][cH][cH][cH]c2[n+]1[!#1]"
2246,2246,"[!#1]c1sc2[cH][cH][cH][cH]c2c1[!#1]"
2247,2247,"[!#1]c1sc2[cH][cH][cH][cH]c2c1Cl"
2248,2248,"[!#1]c1sc2[cH][cH]c([!#1])[cH]c2[n+]1[!#1]"
2249,2249,"[!#1]c1sc2[cH][cH]c3[cH][cH][cH][cH]c3c2[n+]1[!#1]"
2250,2250,"[!#1]c1sc2[cH]c([!#1])[cH][cH]c2c1[!#1]"
2251,2251,"[!#1]c1sc2[cH]c(F)[cH][cH]c2c1Cl"
2252,2252,"[!#1]c1sc2[CH2][CH2][CH2][CH2]c2c1[!#1]"
2253,2253,"[!#1]c1sc2[CH2][CH2][CH2][CH2]c2c1C(=O)[NH2]"
2254,2254,"[!#1]c1sc2c([!#1])[cH][cH][cH]c2c1[!#1]"
2255,2255,"[!#1]c1sc2c([!#1])c([!#1])[cH][cH]c2c1[!#1]"
2256,2256,"[!#1]c1sc2C(=N[OH])[CH2][CH2][CH2]c2c1[!#1]"
2257,2257,"[!#1]c1sc2C(=O)[CH2][CH2][CH2]c2c1[!#1]"
2258,2258,"[!#1]c1sc2n[cH]nc([!#1])c2c1[!#1]"
2259,2259,"[!#1]Cl"
2260,2260,"[!#1]F"
2261,2261,"[!#1]I"
2262,2262,"[!#1]N([!#1])[!#1]"
2263,2263,"[!#1]N([!#1])[CH2]c1[cH][cH][cH][cH][cH]1"
2264,2264,"[!#1]N([!#1])[CH3]"
2265,2265,"[!#1]N([!#1])C(=O)[!#1]"
2266,2266,"[!#1]N([!#1])C(=O)O[CH2][CH3]"
2267,2267,"[!#1]N([!#1])c1[cH][cH][cH][cH][cH]1"
2268,2268,"[!#1]N([!#1])c1[cH][cH][cH]c2[cH][cH][cH][cH]c12"
2269,2269,"[!#1]N([CH]([CH]([CH3])[CH3])C(=O)[!#1])C(=O)c1[cH][cH][cH][cH]c1C(=O)[!#1]"
2270,2270,"[!#1]N([CH]([CH]([CH3])[CH3])C(=O)[OH])C(=S)SC([!#1])([!#1])C(=O)[!#1]"
2271,2271,"[!#1]N([CH]([CH2]c1[cH][cH][cH][cH][cH]1)C(=O)[!#1])C(=O)c2[cH][cH][cH][cH]c2C(=O)[!#1]"
2272,2272,"[!#1]N([CH]([CH2]c1[cH][cH]c([cH][cH]1)[N+](=O)[O-])C(=O)[!#1])C(=O)c2[cH][cH][cH][cH]c2C(=O)[!#1]"
2273,2273,"[!#1]N([CH]([CH3])[CH3])[CH]([CH3])[CH3]"
2274,2274,"[!#1]N([CH]1[CH2][CH2][CH2][CH2][CH2]1)[CH]2[CH2][CH2][CH2][CH2][CH2]2"
2275,2275,"[!#1]N([CH2][CH2][CH2][CH2][CH2]C(=O)[!#1])C(=O)c1[cH][cH][cH][cH]c1C(=O)[!#1]"
2276,2276,"[!#1]N([CH2][CH2][CH2][CH3])[CH2][CH2][CH2][CH3]"
2277,2277,"[!#1]N([CH2][CH2][CH2][CH3])C(=O)[!#1]"
2278,2278,"[!#1]N([CH2][CH2][CH2]C(=O)[!#1])[CH2]C(=O)[!#1]"
2279,2279,"[!#1]N([CH2][CH2][CH2]C(=O)[!#1])C(=O)c1[cH][cH][cH][cH]c1C(=O)[!#1]"
2280,2280,"[!#1]N([CH2][CH2][CH2]C(=O)[!#1])C(=S)SC([!#1])([!#1])C(=O)[!#1]"
2281,2281,"[!#1]N([CH2][CH2][CH2]C(=O)[!#1])c1[cH][cH]c([cH][cH]1)S(=O)(=O)[!#1]"
2282,2282,"[!#1]N([CH2][CH2][CH2]S(=O)(=O)[OH])c1[cH][cH][cH][cH]c1SC([!#1])([!#1])[!#1]"
2283,2283,"[!#1]N([CH2][CH2][OH])[CH2][CH2][OH]"
2284,2284,"[!#1]N([CH2][CH2]C(=O)[!#1])C(=O)c1[cH][cH][cH][cH]c1C(=O)[!#1]"
2285,2285,"[!#1]N([CH2][CH2]C(=O)[!#1])C(=S)SC([!#1])([!#1])C(=O)[!#1]"
2286,2286,"[!#1]N([CH2][CH2]C(=O)[OH])C(=S)SC([!#1])([!#1])C(=O)[!#1]"
2287,2287,"[!#1]N([CH2][CH3])[CH2][CH2][OH]"
2288,2288,"[!#1]N([CH2][CH3])[CH2][CH3]"
2289,2289,"[!#1]N([CH2][CH3])C(=O)[!#1]"
2290,2290,"[!#1]N([CH2][CH3])c1[cH][cH][cH][cH][cH]1"
2291,2291,"[!#1]N([CH2]C([CH3])([CH3])[CH2][CH]=C([CH3])[CH3])C(=O)[CH3]"
2292,2292,"[!#1]N([CH2]C(=O)[!#1])C(=O)c1[cH][cH][cH][cH]c1C(=O)[!#1]"
2293,2293,"[!#1]N([CH2]C(=O)[!#1])C(=O)c1[cH][cH][cH]c2[cH][cH][cH]c(C(=O)[!#1])c12"
2294,2294,"[!#1]N([CH2]C(=O)[!#1])C(=O)SC([!#1])([!#1])C(=O)[!#1]"
2295,2295,"[!#1]N([CH2]C(=O)[!#1])C(=S)SC([!#1])([!#1])C(=O)[!#1]"
2296,2296,"[!#1]N([CH2]C(=O)[OH])[CH2]C(=O)[OH]"
2297,2297,"[!#1]N([CH2]C(=O)[OH])C(=S)SC([!#1])([!#1])C(=O)[!#1]"
2298,2298,"[!#1]N([CH2]c1[cH][cH][cH][cH][cH]1)[CH2]c2[cH][cH][cH][cH][cH]2"
2299,2299,"[!#1]N([CH2]c1[cH][cH][cH][cH][cH]1)C([CH3])([CH3])[CH3]"
2300,2300,"[!#1]N([CH2]c1[cH][cH][cH][cH][cH]1)C(=S)SC([!#1])([!#1])C(=O)[!#1]"
2301,2301,"[!#1]N([CH2]c1[cH][cH]c(Cl)[cH]c1Cl)c2[cH][cH][cH]c(Cl)[cH]2"
2302,2302,"[!#1]N([CH2]c1[cH][cH]c(F)[cH][cH]1)c2[cH][cH]c(I)[cH][cH]2"
2303,2303,"[!#1]N([CH3])[CH2][CH2][OH]"
2304,2304,"[!#1]N([CH3])[CH2]C(=O)[OH]"
2305,2305,"[!#1]N([CH3])[CH2]c1[cH][cH][cH][cH][cH]1"
2306,2306,"[!#1]N([CH3])[CH3]"
2307,2307,"[!#1]N([CH3])C(=[NH])[NH]C(=[NH])[NH2]"
2308,2308,"[!#1]N([CH3])C(=O)[!#1]"
2309,2309,"[!#1]N([CH3])C(=O)[CH3]"
2310,2310,"[!#1]N([CH3])c1[cH][cH][cH][cH][cH]1"
2311,2311,"[!#1]N([CH3])c1[cH][cH][cH][cH]c1C([!#1])([!#1])C(=O)[!#1]"
2312,2312,"[!#1]N([CH3])c1[cH][cH]c([!#1])[cH][cH]1"
2313,2313,"[!#1]N([CH3])c1[cH]c([!#1])c2[cH][cH][cH][cH]c2n1"
2314,2314,"[!#1]N([CH3])S(=O)(=O)[!#1]"
2315,2315,"[!#1]N(C(=O)[!#1])S(=O)(=O)[!#1]"
2316,2316,"[!#1]N(C(=O)[CH]([CH2]C(=O)[!#1])S[CH2]C(=O)[!#1])c1[cH][cH][cH]c(Cl)[cH]1"
2317,2317,"[!#1]N(C(=O)[CH2][CH2][CH3])S(=O)(=O)[!#1]"
2318,2318,"[!#1]N(C(=O)[CH3])C(=O)[CH3]"
2319,2319,"[!#1]N(C(=O)c1[cH]c([cH][cH]c1C(=O)[!#1])C(=O)[!#1])c2[cH][cH]c([cH][cH]2)C(=O)[!#1]"
2320,2320,"[!#1]N(C(=O)c1[cH]c([cH][cH]c1C(=O)[!#1])C(=O)[OH])c2[cH][cH]c([!#1])[cH][cH]2"
2321,2321,"[!#1]N(C(=S)SC([!#1])([!#1])C(=O)[!#1])c1[cH][cH]c([cH][cH]1)C(=O)[OH]"
2322,2322,"[!#1]N(c1[cH][cH][cH][cH][cH]1)c2[cH][cH][cH][cH][cH]2"
2323,2323,"[!#1]N=[CH][CH]([!#1])[!#1]"
2324,2324,"[!#1]N=[CH][CH]=N[!#1]"
2325,2325,"[!#1]N=[CH]c1[cH][cH][cH][cH][cH]1"
2326,2326,"[!#1]N=[CH]c1[cH][cH][cH][cH]c1[N+](=O)[O-]"
2327,2327,"[!#1]N=[CH]c1[cH][cH][cH][cH]c1[OH]"
2328,2328,"[!#1]N=[CH]c1[cH][cH][cH][cH]c1F"
2329,2329,"[!#1]N=[CH]c1[cH][cH][cH][nH]1"
2330,2330,"[!#1]N=[CH]c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]"
2331,2331,"[!#1]N=[CH]c1[cH][cH][cH]c([OH])[cH]1"
2332,2332,"[!#1]N=[CH]c1[cH][cH][cH]c(Cl)[cH]1"
2333,2333,"[!#1]N=[CH]c1[cH][cH][cH]c2[cH][cH][cH][cH]c12"
2334,2334,"[!#1]N=[CH]c1[cH][cH][cH]n[cH]1"
2335,2335,"[!#1]N=[CH]c1[cH][cH][cH]o1"
2336,2336,"[!#1]N=[CH]c1[cH][cH]c([!#1])[cH][cH]1"
2337,2337,"[!#1]N=[CH]c1[cH][cH]c([!#1])o1"
2338,2338,"[!#1]N=[CH]c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]"
2339,2339,"[!#1]N=[CH]c1[cH][cH]c([cH][cH]1)N([!#1])[CH2][CH3]"
2340,2340,"[!#1]N=[CH]c1[cH][cH]c([cH][cH]1)N([!#1])[CH3]"
2341,2341,"[!#1]N=[CH]c1[cH][cH]c([CH]=N[!#1])[cH][cH]1"
2342,2342,"[!#1]N=[CH]c1[cH][cH]c([CH3])o1"
2343,2343,"[!#1]N=[CH]c1[cH][cH]c([OH])[cH][cH]1"
2344,2344,"[!#1]N=[CH]c1[cH][cH]c([OH])[cH]c1[OH]"
2345,2345,"[!#1]N=[CH]c1[cH][cH]c([OH])c([OH])[cH]1"
2346,2346,"[!#1]N=[CH]c1[cH][cH]c(Br)[cH][cH]1"
2347,2347,"[!#1]N=[CH]c1[cH][cH]c(Br)s1"
2348,2348,"[!#1]N=[CH]c1[cH][cH]c(C#Cc2[cH][cH][cH][cH][cH]2)[cH][cH]1"
2349,2349,"[!#1]N=[CH]c1[cH][cH]c(Cl)[cH][cH]1"
2350,2350,"[!#1]N=[CH]c1[cH][cH]c(Cl)[cH]c1Cl"
2351,2351,"[!#1]N=[CH]c1[cH][cH]c(s1)[N+](=O)[O-]"
2352,2352,"[!#1]N=[CH]c1[cH][cH]c2n([!#1])c3[cH][cH][cH][cH]c3c2[cH]1"
2353,2353,"[!#1]N=[CH]c1[cH][cH]c2O[CH2]Oc2[cH]1"
2354,2354,"[!#1]N=[CH]c1[cH][nH]c2[cH][cH][cH][cH]c12"
2355,2355,"[!#1]N=[CH]c1[cH]c([cH][cH]c1[OH])[N+](=O)[O-]"
2356,2356,"[!#1]N=[CH]c1[cH]c(Br)[cH][cH]c1[OH]"
2357,2357,"[!#1]N=[CH]c1[cH]c(Br)[cH]c(c1[OH])C([CH3])([CH3])[CH3]"
2358,2358,"[!#1]N=[CH]c1[cH]c(c([OH])c([cH]1)C([CH3])([CH3])[CH3])C([CH3])([CH3])[CH3]"
2359,2359,"[!#1]N=[CH]c1[cH]c(Cl)[cH]c(Cl)c1[OH]"
2360,2360,"[!#1]N=[CH]c1[cH]c2O[CH2]Oc2[cH]c1[N+](=O)[O-]"
2361,2361,"[!#1]N=[CH]c1c([CH3])[nH]n([!#1])c1=O"
2362,2362,"[!#1]N=[CH]c1c([OH])[cH][cH]c2[cH][cH][cH][cH]c12"
2363,2363,"[!#1]N=[CH]c1c2[cH][cH][cH][cH]c2[cH]c3[cH][cH][cH][cH]c13"
2364,2364,"[!#1]N=[CH]c1s[cH][cH]c1[CH3]"
2365,2365,"[!#1]N=[CH]N([CH3])[CH3]"
2366,2366,"[!#1]N=[N+]([!#1])[O-]"
2367,2367,"[!#1]N=[N+]=[N-]"
2368,2368,"[!#1]N=C([CH]([!#1])[!#1])[CH]([!#1])[!#1]"
2369,2369,"[!#1]N=C([CH3])N([CH3])[CH3]"
2370,2370,"[!#1]N=C(O[CH3])c1[cH][cH]c([CH3])[cH][cH]1"
2371,2371,"[!#1]N=C(OC(=O)C([!#1])([!#1])[!#1])c1[cH][cH][cH][cH][cH]1"
2372,2372,"[!#1]N=C1[CH](C(=O)c2[cH][cH][cH][cH]c12)c3[cH][cH][cH][cH][cH]3"
2373,2373,"[!#1]N=c1[cH][cH]n([!#1])[cH][cH]1"
2374,2374,"[!#1]N=C1[CH2][CH2][CH2]c2[cH][cH][cH][cH]c2[NH]1"
2375,2375,"[!#1]N=C1[NH]C(=[NH])c2[cH][cH][cH][cH]c12"
2376,2376,"[!#1]N=C1C(=O)[NH]c2[cH][cH][cH][cH]c12"
2377,2377,"[!#1]N=c1s[cH]c([!#1])n1[!#1]"
2378,2378,"[!#1]N=c1s[cH]c(c2[cH][cH]c([!#1])[cH][cH]2)n1[!#1]"
2379,2379,"[!#1]N=N[!#1]"
2380,2380,"[!#1]N=O"
2381,2381,"[!#1]N1[CH]([CH3])[CH2][CH2][CH2][CH]1[CH3]"
2382,2382,"[!#1]N1[CH](S[CH2]C1=O)c2[cH][cH][cH][cH][cH]2"
2383,2383,"[!#1]n1[cH][cH][cH][cH]c1=[NH]"
2384,2384,"[!#1]n1[cH][cH][cH]c([CH3])c1=[NH]"
2385,2385,"[!#1]n1[cH][cH][cH]c1[CH]=O"
2386,2386,"[!#1]n1[cH][cH][cH]n1"
2387,2387,"[!#1]n1[cH][cH][cH]nc1=[NH]"
2388,2388,"[!#1]n1[cH][cH]c([CH3])n1"
2389,2389,"[!#1]n1[cH][cH]c(=[NH])[cH][cH]1"
2390,2390,"[!#1]n1[cH][cH]c(=N[CH2]c2[cH][cH][cH][cH][cH]2)[cH][cH]1"
2391,2391,"[!#1]n1[cH][cH]c(=O)[nH]c1=O"
2392,2392,"[!#1]n1[cH][cH]c2[cH][cH][cH][cH]c12"
2393,2393,"[!#1]n1[cH][cH]n[cH]1"
2394,2394,"[!#1]n1[cH][cH]nc1[CH3]"
2395,2395,"[!#1]n1[cH][cH]nc1[N+](=O)[O-]"
2396,2396,"[!#1]n1[cH][cH]sc1=[NH]"
2397,2397,"[!#1]n1[cH]c(Br)[cH][cH]c1=[NH]"
2398,2398,"[!#1]n1[cH]n[cH]n1"
2399,2399,"[!#1]n1[cH]n[n+]([!#1])[cH]1"
2400,2400,"[!#1]n1[cH]nc([cH]1)[N+](=O)[O-]"
2401,2401,"[!#1]n1[cH]nc(=O)[cH]n1"
2402,2402,"[!#1]n1[cH]nc2[cH][cH][cH][cH]c12"
2403,2403,"[!#1]n1[cH]nn[cH]1"
2404,2404,"[!#1]N1[CH2][CH]([CH2]C1=O)c2[cH][cH][cH][cH][cH]2"
2405,2405,"[!#1]N1[CH2][CH]([CH3])C([OH])([CH2][CH]1[CH3])c2[cH][cH][cH][cH][cH]2"
2406,2406,"[!#1]N1[CH2][CH2][CH]([CH2]1)c2[cH][cH][cH][cH][cH]2"
2407,2407,"[!#1]N1[CH2][CH2][CH]([CH2]c2[cH][cH][cH][cH][cH]2)[CH2][CH2]1"
2408,2408,"[!#1]N1[CH2][CH2][CH]([CH3])[CH2][CH2]1"
2409,2409,"[!#1]N1[CH2][CH2][CH]=[CH][CH2]1"
2410,2410,"[!#1]N1[CH2][CH2][CH2][CH]1C(=O)[OH]"
2411,2411,"[!#1]N1[CH2][CH2][CH2][CH2][CH]1[CH2][CH3]"
2412,2412,"[!#1]N1[CH2][CH2][CH2][CH2][CH2][CH2]1"
2413,2413,"[!#1]N1[CH2][CH2][CH2][CH2][CH2]1"
2414,2414,"[!#1]N1[CH2][CH2][CH2][CH2]1"
2415,2415,"[!#1]N1[CH2][CH2][CH2]C1=O"
2416,2416,"[!#1]N1[CH2][CH2][CH2]c2[cH][cH][cH][cH]c12"
2417,2417,"[!#1]N1[CH2][CH2][CH2]c2c([!#1])c3[cH][cH][cH][cH]c3nc12"
2418,2418,"[!#1]N1[CH2][CH2][CH2]N([!#1])[CH2][CH2]1"
2419,2419,"[!#1]N1[CH2][CH2][NH][CH2][CH2]1"
2420,2420,"[!#1]N1[CH2][CH2]C(=[CH][CH2]1)[!#1]"
2421,2421,"[!#1]N1[CH2][CH2]C(=O)[CH2][CH2]1"
2422,2422,"[!#1]N1[CH2][CH2]C2([CH2][CH2]1)O[CH2][CH2]O2"
2423,2423,"[!#1]N1[CH2][CH2]c2[cH][cH][cH][cH]c12"
2424,2424,"[!#1]N1[CH2][CH2]c2c([CH2]1)c3[cH][cH][cH][cH]c3n2[!#1]"
2425,2425,"[!#1]N1[CH2][CH2]c2c1nc3[cH][cH][cH][cH]c3c2[!#1]"
2426,2426,"[!#1]N1[CH2][CH2]c2c1nc3[cH][cH]c([!#1])[cH]c3c2[!#1]"
2427,2427,"[!#1]N1[CH2][CH2]N([!#1])[CH]1c2[cH][cH]c([!#1])[cH][cH]2"
2428,2428,"[!#1]N1[CH2][CH2]N([!#1])[CH2][CH2]1"
